iter	Logloss
0	0.52931019
1	0.4076616919
2	0.3176390239
3	0.2508481415
4	0.2009526234
5	0.1633161553
6	0.1346027414
7	0.1124282827
8	0.09508916676
9	0.08136284553
10	0.07036578775
11	0.06145385133
12	0.05415282631
13	0.04811001696
14	0.04306036712
15	0.03880261775
16	0.03518239916
17	0.03208014028
18	0.02940234527
19	0.02707524223
20	0.02504011655
21	0.02324985085
22	0.02166633668
23	0.02025852159
24	0.01900092307
25	0.01787248873
26	0.01685571501
27	0.01593596084
28	0.01510090914
29	0.01434014139
30	0.0136447994
31	0.01300731456
32	0.0124211899
33	0.01188082358
34	0.01138136512
35	0.01091859773
36	0.01048884146
37	0.01008887311
38	0.009715859688
39	0.009367302901
40	0.009040992579
41	0.008734967508
42	0.008447482328
43	0.00817697945
44	0.007922065142
45	0.007681489107
46	0.007454126968
47	0.007238965209
48	0.007035088174
49	0.006841666826
50	0.006657948985
51	0.006483250825
52	0.006316949467
53	0.006158476486
54	0.006007312219
55	0.005862980761
56	0.00572504555
57	0.005593105468
58	0.005466791394
59	0.005345763134
60	0.005229706702
61	0.005118331894
62	0.005011370117
63	0.004908572456
64	0.004809707936
65	0.004714561965
66	0.004622934931
67	0.004534640944
68	0.004449506693
69	0.00436737042
70	0.004288080992
71	0.004211497052
72	0.004137486258
73	0.004065924587
74	0.0039966957
75	0.003929690368
76	0.003864805941
77	0.003801945875
78	0.003741019283
79	0.003681940539
80	0.003624628906
81	0.003569008198
82	0.003515006467
83	0.003462555718
84	0.003411591643
85	0.00336205338
86	0.00331388329
87	0.003267026742
88	0.003221431932
89	0.003177049696
90	0.003133833352
91	0.003091738545
92	0.003050723105
93	0.003010746917
94	0.002971771799
95	0.002933761388
96	0.002896681034
97	0.002860497702
98	0.002825179879
99	0.002790697491
100	0.002757021819
101	0.002724125427
102	0.002691982093
103	0.002660566739
104	0.002629855375
105	0.002599825039
106	0.002570453741
107	0.002541720417
108	0.002513604878
109	0.002486087766
110	0.002459150515
111	0.002432775307
112	0.002406945038
113	0.002381643281
114	0.002356854257
115	0.002332562798
116	0.002308754323
117	0.002285414807
118	0.002262530756
119	0.002240089184
120	0.002218077586
121	0.002196483921
122	0.002175296585
123	0.002154504396
124	0.002134096574
125	0.002114062724
126	0.002094392815
127	0.002075077172
128	0.002056106451
129	0.002037471634
130	0.00201916401
131	0.002001175163
132	0.001983496961
133	0.00196612154
134	0.001949041302
135	0.001932248893
136	0.001915737201
137	0.001899499345
138	0.001883528663
139	0.001867818706
140	0.001852363228
141	0.00183715618
142	0.0018221917
143	0.001807464109
144	0.001792967899
145	0.001778697734
146	0.001764648435
147	0.001750814981
148	0.00175079285
149	0.001743751411
150	0.001730236061
151	0.001716924568
152	0.001716839422
153	0.001716839422
154	0.001716839422
